game_id,move_number,player,row,col,board_state,timestamp,winner
20250319_235603,7,1,0,2,001212121,2025-03-19 23:56:03,1
20250319_235603,1,1,0,1,010000000,2025-03-19 23:56:03,
20250319_235603,2,2,2,2,010000002,2025-03-19 23:56:03,
20250319_235603,3,1,1,0,010100002,2025-03-19 23:56:03,
20250319_235603,4,2,1,2,010102002,2025-03-19 23:56:04,
20250319_235603,5,1,2,0,010102102,2025-03-19 23:56:04,
20250319_235603,6,2,0,2,012102102,2025-03-19 23:56:04,2
20250319_235604,1,1,0,0,100000000,2025-03-19 23:56:04,
20250319_235604,2,2,2,0,100000200,2025-03-19 23:56:04,
20250319_235604,3,1,2,1,100000210,2025-03-19 23:56:04,
20250319_235604,4,2,1,1,100020210,2025-03-19 23:56:04,
20250319_235604,5,1,0,1,110020210,2025-03-19 23:56:05,
20250319_235604,6,2,1,2,110022210,2025-03-19 23:56:05,
20250319_235604,7,1,2,2,110022211,2025-03-19 23:56:05,
20250319_235604,8,2,0,2,112022211,2025-03-19 23:56:05,2
20250319_235605,1,1,0,1,010000000,2025-03-19 23:56:05,
20250319_235605,2,2,0,0,210000000,2025-03-19 23:56:05,
20250319_235605,3,1,2,1,210000010,2025-03-19 23:56:05,
20250319_235605,4,2,2,0,210000210,2025-03-19 23:56:05,
20250319_235605,5,1,2,2,210000211,2025-03-19 23:56:05,
20250319_235605,6,2,1,1,210020211,2025-03-19 23:56:05,
20250319_235605,7,1,0,2,211020211,2025-03-19 23:56:06,
20250319_235605,8,2,1,2,211022211,2025-03-19 23:56:06,
20250319_235605,9,1,1,0,211122211,2025-03-19 23:56:06,0
20250319_235606,1,1,2,0,000000100,2025-03-19 23:56:06,
20250319_235606,2,2,0,1,020000100,2025-03-19 23:56:06,
20250319_235606,3,1,1,2,020001100,2025-03-19 23:56:06,
20250319_235606,4,2,1,1,020021100,2025-03-19 23:56:06,
20250319_235606,5,1,0,0,120021100,2025-03-19 23:56:06,
20250319_235606,6,2,2,2,120021102,2025-03-19 23:56:06,
20250319_235606,7,1,1,0,120121102,2025-03-19 23:56:07,1
20250319_235607,1,1,2,2,000000001,2025-03-19 23:56:07,
20250319_235607,2,2,0,0,200000001,2025-03-19 23:56:07,
20250319_235607,3,1,1,0,200100001,2025-03-19 23:56:07,
20250319_235607,4,2,1,2,200102001,2025-03-19 23:56:07,
20250319_235607,5,1,0,2,201102001,2025-03-19 23:56:07,
20250319_235607,6,2,0,1,221102001,2025-03-19 23:56:07,
20250319_235607,7,1,1,1,221112001,2025-03-19 23:56:07,
20250319_235607,8,2,2,1,221112021,2025-03-19 23:56:07,
20250319_235607,9,1,2,0,221112121,2025-03-19 23:56:07,1
20250319_235608,1,1,0,2,001000000,2025-03-19 23:56:08,
20250319_235608,2,2,0,0,201000000,2025-03-19 23:56:08,
20250319_235608,3,1,1,1,201010000,2025-03-19 23:56:08,
20250319_235608,4,2,0,1,221010000,2025-03-19 23:56:08,
20250319_235608,5,1,1,2,221011000,2025-03-19 23:56:08,
20250319_235608,6,2,2,0,221011200,2025-03-19 23:56:08,
20250319_235608,7,1,2,1,221011210,2025-03-19 23:56:08,
20250319_235608,8,2,1,0,221211210,2025-03-19 23:56:08,2
20250319_235609,1,1,0,0,100000000,2025-03-19 23:56:09,
20250319_235609,2,2,1,0,100200000,2025-03-19 23:56:09,
20250319_235609,3,1,2,1,100200010,2025-03-19 23:56:09,
20250319_235609,4,2,2,0,100200210,2025-03-19 23:56:09,
20250319_235609,5,1,0,1,110200210,2025-03-19 23:56:09,
20250319_235609,6,2,1,1,110220210,2025-03-19 23:56:09,
20250319_235609,7,1,2,2,110220211,2025-03-19 23:56:09,
20250319_235609,8,2,1,2,110222211,2025-03-19 23:56:09,2
20250319_235609,1,1,1,2,000001000,2025-03-19 23:56:09,
20250319_235609,2,2,2,2,000001002,2025-03-19 23:56:09,
20250319_235609,3,1,1,1,000011002,2025-03-19 23:56:09,
20250319_235609,4,2,1,0,000211002,2025-03-19 23:56:10,
20250319_235609,5,1,2,0,000211102,2025-03-19 23:56:10,
20250319_235609,6,2,0,2,002211102,2025-03-19 23:56:10,
20250319_235609,7,1,0,1,012211102,2025-03-19 23:56:10,
20250319_235609,8,2,2,1,012211122,2025-03-19 23:56:10,
20250319_235609,9,1,0,0,112211122,2025-03-19 23:56:10,0
20250319_235610,1,1,0,2,001000000,2025-03-19 23:56:10,
20250319_235610,2,2,1,2,001002000,2025-03-19 23:56:10,
20250319_235610,3,1,1,0,001102000,2025-03-19 23:56:10,
20250319_235610,4,2,0,0,201102000,2025-03-19 23:56:11,
20250319_235610,5,1,2,0,201102100,2025-03-19 23:56:11,
20250319_235610,6,2,0,1,221102100,2025-03-19 23:56:11,
20250319_235610,7,1,1,1,221112100,2025-03-19 23:56:11,1
20250319_235611,1,1,0,0,100000000,2025-03-19 23:56:11,
20250319_235611,2,2,0,1,120000000,2025-03-19 23:56:11,
20250319_235611,3,1,1,2,120001000,2025-03-19 23:56:11,
20250319_235611,4,2,0,2,122001000,2025-03-19 23:56:11,
20250319_235611,5,1,2,2,122001001,2025-03-19 23:56:11,
20250319_235611,6,2,1,1,122021001,2025-03-19 23:56:11,
20250319_235611,7,1,2,1,122021011,2025-03-19 23:56:12,
20250319_235611,8,2,2,0,122021211,2025-03-19 23:56:12,2
20250319_235612,1,1,2,0,000000100,2025-03-19 23:56:12,
20250319_235612,2,2,2,1,000000120,2025-03-19 23:56:12,
20250319_235612,3,1,1,2,000001120,2025-03-19 23:56:12,
20250319_235612,4,2,2,2,000001122,2025-03-19 23:56:12,
20250319_235612,5,1,0,2,001001122,2025-03-19 23:56:12,
20250319_235612,6,2,0,0,201001122,2025-03-19 23:56:12,
20250319_235612,7,1,1,1,201011122,2025-03-19 23:56:12,1
20250319_235613,1,1,0,0,100000000,2025-03-19 23:56:13,
20250319_235613,2,2,2,0,100000200,2025-03-19 23:56:13,
20250319_235613,3,1,0,1,110000200,2025-03-19 23:56:13,
20250319_235613,4,2,1,1,110020200,2025-03-19 23:56:13,
20250319_235613,5,1,1,2,110021200,2025-03-19 23:56:13,
20250319_235613,6,2,1,0,110221200,2025-03-19 23:56:13,
20250319_235613,7,1,2,2,110221201,2025-03-19 23:56:13,
20250319_235613,8,2,0,2,112221201,2025-03-19 23:56:13,2
20250319_235613,1,1,1,2,000001000,2025-03-19 23:56:13,
20250319_235613,2,2,1,0,000201000,2025-03-19 23:56:13,
20250319_235613,3,1,0,0,100201000,2025-03-19 23:56:14,
20250319_235613,4,2,1,1,100221000,2025-03-19 23:56:14,
20250319_235613,5,1,0,2,101221000,2025-03-19 23:56:14,
20250319_235613,6,2,0,1,121221000,2025-03-19 23:56:14,
20250319_235613,7,1,2,0,121221100,2025-03-19 23:56:14,
20250319_235613,8,2,2,1,121221120,2025-03-19 23:56:14,2
20250319_235614,1,1,2,0,000000100,2025-03-19 23:56:14,
20250319_235614,2,2,0,0,200000100,2025-03-19 23:56:14,
20250319_235614,3,1,1,1,200010100,2025-03-19 23:56:14,
20250319_235614,4,2,0,2,202010100,2025-03-19 23:56:15,
20250319_235614,5,1,2,1,202010110,2025-03-19 23:56:15,
20250319_235614,6,2,1,0,202210110,2025-03-19 23:56:15,
20250319_235614,7,1,0,1,212210110,2025-03-19 23:56:15,1
20250319_235615,1,1,0,0,100000000,2025-03-19 23:56:15,
20250319_235615,2,2,2,2,100000002,2025-03-19 23:56:15,
20250319_235615,3,1,2,1,100000012,2025-03-19 23:56:15,
20250319_235615,4,2,1,2,100002012,2025-03-19 23:56:15,
20250319_235615,5,1,0,1,110002012,2025-03-19 23:56:15,
20250319_235615,6,2,1,1,110022012,2025-03-19 23:56:16,
20250319_235615,7,1,2,0,110022112,2025-03-19 23:56:16,
20250319_235615,8,2,0,2,112022112,2025-03-19 23:56:16,2
20250319_235616,1,1,0,2,001000000,2025-03-19 23:56:16,
20250319_235616,2,2,1,0,001200000,2025-03-19 23:56:16,
